,,
Category,Sub-Category,Services
,,
1. Corporate Law & Secretarial Compliance,Incorporation & Business Set-Up,Incorporation of Private Limited Company
,,Incorporation of Public Limited Company
,,Incorporation of One Person Company (OPC)
,,Incorporation of Limited Liability Partnership (LLP)
,,Incorporation of Producer Company
,,Section 8 (Not-for-Profit) Company Registration
,,Conversion of Proprietorship/Partnership into Company/LLP
,,Conversion of Private Company into Public/OPC/LLP & vice versa
,,Obtaining Director Identification Number (DIN)
,,Digital Signature Certificates (DSC) facilitation
,,Name Reservation & Change of Name
,,Drafting Memorandum & Articles of Association
,,Commencement of Business filings
,,
,Secretarial Compliance & Filings,Annual Return filing (MGT-7/MGT-7A)
,,Financial Statement filing (AOC-4/AOC-4 XBRL)
,,Appointment/Reappointment/Resignation of Directors (DIR-12)
,,Appointment/Resignation of Auditors (ADT-1/ADT-3)
,,"Filing of Charges (CHG-1, CHG-4, CHG-9)"
,,"Maintenance of Statutory Registers (Members, Directors, Charges, etc.)"
,,"Issue/Allotment/Transfer of Shares (PAS-3, SH-4, SH-7)"
,,Buyback/Reduction of Share Capital filings
,,Increase in Authorised Share Capital filings
,,"Compliance for Listed Companies (LODR, SEBI Regulations)"
,,"Filing of Resolutions with ROC (MGT-7, MGT-14)"
,,Filing of Return of Deposits (DPT-3)
,,MSME Return filing (MSME-1)
,,"Event-based compliances (change in registered office, alteration in MOA/AOA, etc.)"
,,Filing liquidator’s documents
,,Compounding of offences
,,
,Board & Shareholder Meeting Compliances,Drafting & Circulation of Notice & Agenda for Board/General Meetings
,,"Conducting Meetings (Board Meetings, Committee Meetings, General Meetings)"
,,"Drafting of Minutes (Board Meetings, Committee Meetings, General Meetings)"
,,Assistance in e-voting & postal ballot
,,Preparation & filing of resolutions with ROC
,,Drafting of shareholder agreements & corporate governance policies
,,Support in Secretarial Standards (SS-1 & SS-2) compliance
,,
,Corporate Governance & Advisory,"Advisory on Companies Act, 2013 compliance"
,,"Advisory on FEMA/RBI matters (Foreign Direct Investment, ODI, ECB)"
,,"Corporate Restructuring (mergers, demergers, amalgamations)"
,,"Drafting shareholder agreements, joint venture agreements"
,,"Due Diligence (Secretarial, Legal, Corporate Governance)"
,,"Corporate Policy drafting (Whistle-blower, CSR, Code of Conduct, etc.)"
,,Secretarial Audit (for listed & prescribed companies)
,,"Certification of Annual Returns (MGT-7, Form 8/11 for LLPs)"
,,CSR compliance & reporting
,,
,Statutory Certifications & Reports,Certification of Annual Return (MGT-8)
,,Secretarial Audit Report (MR-3)
,,Certification of e-forms under Companies Act
,,Diligence Report for Banks (as per RBI requirements)
,,Certification for Buyback of Shares
,,Certification for Preferential Allotment/Bonus/Rights Issue
,,Reconciliation of Share Capital Audit (half-yearly for listed cos.)
,,
,Regulatory Approvals & Representation,Filing & liaisoning with Registrar of Companies (ROC)
,,Filing & liaisoning with Regional Director (RD)
,,Compounding of offences under Companies Act
,,Condonation of Delay (with RD/NCLT)
,,"Shifting of Registered Office (within state, from one state to another)"
,,Striking off company (STK-2 filing)
,,Revival of companies under NCLT
,,Representation before MCA/ROC/NCLT/SEBI/Stock Exchanges (where permitted)
,,
,,
2. NCLT/NCLAT & Legal Representation,Corporate Insolvency Resolution Process (CIRP),"Filing Applications:
Section 7 (by Financial Creditor)
Section 9 (by Operational Creditor)
Section 10 (by Corporate Applicant)"
,,"Representing Stakeholders:
Financial Creditors (Banks, NBFCs, Homebuyers, etc.)
Operational Creditors (Vendors, Employees, Statutory Authorities)
Corporate Debtor (Companies filing themselves)"
,,Interim Resolution Professional (IRP) / Resolution Professional (RP) assistance
,,Filing/Defending claims before IRP/RP/CoC
,,Filing interlocutory applications (IA) in CIRP proceedings
,,Challenging/defending CoC decisions before NCLT
,,"Filing avoidance transactions: preferential, undervalued, fraudulent, extortionate"
,,Approval of Resolution Plan before NCLT
,,Liquidation orders in CIRP failure
,,
,Liquidation Proceedings,Filing application for liquidation
,,Acting as liquidator (if eligible) or assisting liquidator
,,Claim collation and verification assistance
,,Filing interlocutory applications in liquidation matters
,,Distribution of assets representation
,,Application for dissolution of company
,,
,Voluntary Liquidation,Filing initiation application before NCLT
,,Public announcements & claim verifications
,,Filing reports with NCLT
,,Application for dissolution order
,,
,Bankruptcy (Personal & Partnership),Filing application under IBC Part III (when notified fully)
,,Representing personal guarantors to corporate debtors
,,Representation for creditors against personal guarantors
,,Filing discharge application / opposition
,,
,"Oppression & Mismanagement (Company Law, Section 241–242)",Filing application for oppression and mismanagement
,,Representation of majority/minority shareholders
,,"Reliefs for removal of directors, mismanagement, fraud, siphoning of funds"
,,Applications for rectification of register of members
,,Waiver applications (maintainability of petition)
,,
,"Merger, Demerger & Compromise (Section 230–232 Schemes)",Filing application for approval of scheme of arrangement/merger/demerger
,,"Representation in objections by ROC, RD, OL, creditors"
,,Application for modification or withdrawal of schemes
,,Cross-border merger applications
,,
,Revival & Rehabilitation of Companies,Filing application for revival of sick company (under IBC/NCLT powers)
,,Application for restructuring/settlement under Section 230
,,Filing for reopening of accounts or recasting of financials
,,Compromise with creditors under NCLT approval
,,
,Reduction of Share Capital,Filing application for reduction of capital
,,Representing objections (creditors/ROC/SEBI if listed)
,,Approval and order compliance
,,
,Amalgamation/Conversion Cases,Conversion of public company into private company (NCLT approval)
,,Conversion of company into LLP (when required under tribunal route)
,,Approval for change in financial year under Section 2(41)
,,Shifting of registered office from one state to another
,,
,Compounding of Offences,Filing compounding applications for violations under Companies Act
,,Representation before NCLT for reliefs/reductions
,,
,Miscellaneous NCLT Matters,Rectification of register of members (Section 59)
,,Approval for issue/redemption of securities when required
,,Applications related to managerial remuneration approval/exceeding limits
,,Waivers under Companies Act provisions requiring NCLT sanction
,,Restoration of struck-off companies (Section 252)
,,Appeals against ROC/RD orders
,,"Filing for extension of AGM, condonation of delay in filing"
,,
,Appeals before NCLAT,Drafting & filing appeals against NCLT orders
,,"Representation for:
CIRP & Liquidation matters
Oppression & Mismanagement cases
Mergers, demergers, compromises
Company law violations & restoration orders"
,,Stay applications & interim reliefs before NCLAT
,,
,High Court / Supreme Court Appeals (Connected with NCLT/NCLAT),Preparing and filing appeals to Supreme Court against NCLAT orders (with advocates)
,,Drafting and strategizing appeals connected to corporate law/IBC
,,
,Ancillary Legal Support,"Drafting & vetting pleadings, affidavits, rejoinders"
,,"Liaison with advocates, counsels, experts"
,,"Compliance of NCLT/NCLAT orders (filings with ROC, RD, etc.)"
,,Certified copy procurement & filing support
,,
3. Governance & Advisory,Corporate Governance Framework: Board Framework,"Drafting & advising on Board Charters, Committees, and TORs"
,,"Setting up Audit Committee, Nomination & Remuneration Committee, CSR Committee, Risk Management Committee"
,,Evaluation of Board performance
,,Training & familiarization programs for directors
